Ind;Cuenca;Nombre Estación;Provincia;x (Uso 30);y (Uso 30);Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
0001;Pirineos;EL PERELLO;TARRAGONA;812768;4531594;38.1;33.8;36.9;49.7;59.4;24.1;16.1;33.6;75.0;86.5;55.1;49.8
0002;Pirineos;L'AMETLLA DE MAR;TARRAGONA;820261;4532998;31.4;31.7;36.1;47.4;56.8;22.0;17.6;39.0;73.6;80.6;51.8;41.4
0002I;Pirineos;VANDELLÓS;TARRAGONA;825867;4541465;32.9;28.3;33.9;45.0;49.5;21.8;15.0;29.7;71.0;80.1;50.8;43.5
0008;Pirineos;MONTBRIO DEL CAMP;TARRAGONA;836154;4559827;32.7;28.5;34.3;46.1;53.3;25.3;11.8;28.8;80.4;75.5;56.1;45.6
0009;Pirineos;ALFORJA (HOSPITAL);TARRAGONA;833498;4569844;39.9;33.7;38.5;63.3;66.4;37.5;12.4;34.2;78.8;99.7;63.3;52.1
0015I;Pirineos;RIUDOMS (CAMARA AGRARIA);TARRAGONA;840102;4562390;31.0;28.6;30.4;48.8;50.0;24.0;13.2;33.0;67.7;67.3;50.0;40.4
0016A;Pirineos;REUS/AEROPUERTO;TARRAGONA;850697;4563805;29.4;28.0;28.9;37.1;54.4;25.1;15.4;42.4;74.9;72.5;52.9;36.5
0016B;Pirineos;REUS (CENTRE LECTURA);TARRAGONA;844791;4564063;31.6;29.3;31.6;42.5;53.8;28.5;16.2;37.7;73.9;75.1;56.4;42.6
0017;Pirineos;VILASECA DE SOLCINA;TARRAGONA;848069;4559519;34.3;30.1;32.9;39.8;55.2;24.5;15.8;49.1;86.4;73.7;55.2;44.0
0019;Pirineos;VIMBODI (RIUDABELLA);TARRAGONA;837996;4588044;43.6;29.3;37.1;57.2;64.4;39.2;12.6;27.7;56.2;77.3;62.3;46.1
0020;Pirineos;VIMBODI;TARRAGONA;838570;4590699;36.8;28.3;30.4;49.7;59.5;38.6;12.2;27.1;54.2;70.6;51.7;40.3
0020O;Pirineos;VIMBODI (MONESTIR DE POBLET);TARRAGONA;841362;4589254;41.5;30.4;33.7;55.8;64.1;42.3;9.8;30.2;58.9;76.8;60.0;46.4
0022;Pirineos;MONTBLANC;TARRAGONA;848477;4589005;33.8;28.0;29.7;43.1;60.2;40.0;11.8;30.5;61.7;76.1;57.2;34.8
0024;Pirineos;ROCAFORT DE QUERALT;TARRAGONA;857516;4600734;32.9;24.8;32.6;42.8;56.6;36.4;13.3;39.4;62.9;68.5;51.9;39.1
0025;Pirineos;SARRAL;TARRAGONA;854953;4597051;32.1;24.5;29.6;41.7;56.8;35.8;14.6;35.8;56.0;64.4;51.6;35.8
0034A;Pirineos;VALLS (2A);TARRAGONA;855968;4579227;28.8;22.4;21.2;37.1;45.3;30.1;10.9;37.8;62.6;66.3;46.6;34.8
0034C;Pirineos;VALLS (SANT ANTONI);TARRAGONA;856897;4580262;33.5;26.7;29.4;44.5;55.7;33.5;14.2;41.9;71.6;67.2;51.9;39.9
0037I;Pirineos;ALCOVER (MUSEU MUNICIPAL);TARRAGONA;849298;4576305;34.3;32.5;32.0;54.0;63.9;34.6;12.1;41.1;91.4;88.3;63.0;44.1
0044E;Pirineos;SANTA COLOMA DE QUERALT (SANT ROC);TARRAGONA;865787;4607335;39.6;29.7;38.8;51.6;63.4;42.2;14.4;36.9;61.6;73.6;53.0;44.2
0053D;Pirineos;MONTFERRI (SANT JORDI);TARRAGONA;865829;4577521;31.7;29.1;28.7;41.7;49.1;29.3;15.3;40.6;73.7;75.6;55.7;45.4
0056B;Pirineos;EL VENDRELL (BOMBERS);TARRAGONA;880614;4574197;34.7;29.1;27.7;37.3;46.0;29.8;14.0;55.2;70.2;80.3;50.4;37.1
0066;Pirineos;VILAFRANCA DEL PENEDES (INCAVI);BARCELONA;893122;4587766;37.3;30.8;33.2;45.0;50.0;27.0;17.4;50.9;73.4;79.6;51.4;42.8
0067;Pirineos;CASTELLVI DE LA MARCA;BARCELONA;886610;4585280;42.3;35.4;33.7;49.4;56.7;30.0;15.5;60.8;79.3;95.8;57.8;45.4
0069;Pirineos;PANTA DE FOIX;BARCELONA;889745;4577713;39.6;31.9;31.5;43.5;50.9;27.2;17.3;60.2;78.6;86.0;52.0;41.0
